iter	Passed	Remaining
0	148	148485
1	153	76658
2	162	54094
3	169	42107
4	176	35115
5	180	29820
6	183	25970
7	187	23250
8	190	21023
9	195	19350
10	198	17840
11	201	16596
12	203	15414
13	204	14394
14	205	13507
15	206	12730
16	208	12045
17	209	11438
18	212	10946
19	213	10478
20	215	10053
21	217	9646
22	218	9268
23	219	8926
24	220	8609
25	221	8315
26	223	8041
27	224	7788
28	226	7580
29	228	7380
30	229	7177
31	230	6983
32	232	6804
33	233	6644
34	235	6490
35	236	6338
36	237	6192
37	239	6062
38	241	5947
39	242	5826
40	244	5708
41	245	5595
42	246	5487
43	247	5383
44	249	5284
45	250	5190
46	251	5100
47	253	5022
48	255	4950
49	256	4879
50	258	4802
51	259	4729
52	260	4657
53	261	4587
54	263	4520
55	264	4454
56	265	4391
57	266	4331
58	268	4284
59	270	4237
60	271	4184
61	273	4131
62	274	4080
63	275	4030
64	277	3984
65	278	3940
66	279	3897
67	281	3855
68	283	3821
69	285	3786
70	286	3747
71	287	3710
72	289	3672
73	290	3637
74	292	3601
75	293	3567
76	294	3533
77	296	3506
78	298	3480
79	300	3450
80	301	3423
81	303	3393
82	303	3357
83	305	3328
84	306	3299
85	307	3270
86	308	3242
87	310	3216
88	311	3192
89	313	3170
90	314	3145
91	316	3121
92	317	3097
93	319	3074
94	320	3053
95	321	3032
96	323	3008
97	324	2989
98	326	2972
99	328	2954
100	329	2933
101	330	2911
102	331	2890
103	333	2869
104	334	2850
105	335	2830
106	336	2810
107	338	2792
108	340	2779
109	341	2765
110	343	2748
111	344	2730
112	345	2715
113	347	2698
114	348	2681
115	349	2665
116	350	2647
117	352	2631
118	353	2615
119	355	2604
120	356	2592
121	358	2576
122	359	2561
123	360	2547
124	361	2532
125	362	2517
126	363	2501
127	365	2487
128	366	2474
129	367	2460
130	369	2451
131	371	2441
132	372	2429
133	374	2419
134	375	2406
135	376	2394
136	378	2382
137	379	2371
138	380	2358
139	382	2346
140	383	2338
141	385	2327
142	386	2317
143	387	2305
144	389	2295
145	390	2284
146	391	2272
147	392	2261
148	394	2250
149	395	2240
150	396	2229
151	398	2221
152	399	2213
153	401	2204
154	402	2193
155	403	2184
156	405	2175
157	406	2167
158	408	2159
159	409	2150
160	410	2138
161	411	2130
162	413	2124
163	415	2117
164	416	2108
165	417	2099
166	419	2094
167	421	2087
168	423	2081
169	424	2073
170	426	2069
